新闻标题,发布时间,发编单位,网页链接
东北财经大学成功举办第一期经济思想史青年学者工作坊,2024.05.20,经济学院,https://www.dufe.edu.cn/content_83620.html
“东北财经大学—德勤实践营”开营仪式成功举行,2024.05.20,招生就业处、会计学院、财政税务学院、国际商学院,https://www.dufe.edu.cn/content_83621.html
东北财经大学召开2024届毕业生就业工作推进会,2024.05.20,招生就业处,https://www.dufe.edu.cn/content_83629.html
东北财经大学成功举办中国财政学会财政史研究专业委员会第十五次年会,2024.05.20,财政税务学院,https://www.dufe.edu.cn/content_83630.html
东北财经大学召开第四十五次学生代表大会、第三十六次研究生代表大会,2024.05.20,校团委,https://www.dufe.edu.cn/content_83631.html
