新闻标题,发布时间,发编单位,网页链接
2024“文化东财 和美与共”校园文化节活动暨“和美财园 多彩青春”第十五届嘉年华校园文化艺术节成功举办,2024.05.18,党委学生工作部,https://www.dufe.edu.cn/content_83590.html
东北财经大学成功举办北方八省（市、区）第十七次教育会计学会联席会议,2024.05.18,财务处,https://www.dufe.edu.cn/content_83591.html
