新闻标题,发布时间,发编单位,网页链接
东北财经大学成功举办教育部电子商务概论课程虚拟教研室建设研讨会,2024.05.16,教务处、管理科学与工程学院、智慧财经产业学院,https://www.dufe.edu.cn/content_83537.html
东北财经大学召开学习贯彻习近平总书记对学校思政课建设的重要指示精神座谈会,2024.05.16,马克思主义学院,https://www.dufe.edu.cn/content_83539.html
