新闻标题,发布时间,发编单位,网页链接
东北财经大学举办“先锋领航——机关青年党员政治能力提升项目”2024年培训班,2024.05.15,机关党委,https://www.dufe.edu.cn/content_83492.html
东北财经大学成功举办数据科学与统计前沿问题研讨会,2024.05.15,数据科学与人工智能学院,https://www.dufe.edu.cn/content_83493.html
