新闻标题,发布时间,发编单位,网页链接
东北财经大学党委书记肖兴志一行赴中央军委后勤保障部调研回访,2024.05.22,发展规划与学科建设处,https://www.dufe.edu.cn/content_83680.html
“文化东财 和美与共”校园文化节之第五届辽宁乡村行实践活动成功举办,2024.05.22,管理科学与工程学院,https://www.dufe.edu.cn/content_83702.html
东北财经大学成功举办中国高等教育学会财经教育分会第十二届统计专业建设研讨会,2024.05.22,统计学院,https://www.dufe.edu.cn/content_83707.html
东北财经大学成功举办“首届数字经济前沿论坛”,2024.05.22,数字经济研究院,https://www.dufe.edu.cn/content_83709.html
